연도,국가명,구분,계,적,공
2020,리투아니아,출항,2491.0,2491.0,0.0
2020,마다가스카르,출항,90.0,90.0,0.0
2020,마르티니크,출항,37.0,37.0,0.0
2020,마샬 제도,출항,773.0,215.0,558.0
2020,마요트,출항,84.0,84.0,0.0
2020,마카오,출항,1.0,1.0,0.0
2020,말레이시아,출항,93544.25,91782.25,1762.0
2020,멕시코,출항,149003.5,143223.5,5780.0
2020,모로코,출항,2635.0,2635.0,0.0
2020,모리셔스,출항,150.0,150.0,0.0
2020,모리타니,출항,84.0,84.0,0.0
2020,모잠비크,출항,1309.0,1309.0,0.0
2020,몬테네그로,출항,38.0,38.0,0.0
2020,몰디브,출항,23.0,23.0,0.0
2020,몰타,출항,635.0,399.0,236.0
2020,미국,출항,801271.5,783218.25,18053.25
2020,미국령 버진아일랜드,출항,1.0,1.0,0.0
2020,미얀마,출항,1517.25,1517.25,0.0
2020,미크로네시아,출항,333.0,257.0,76.0
2020,바누아투,출항,483.0,118.0,365.0
2020,바레인,출항,451.0,451.0,0.0
2020,바베이도스,출항,38.0,38.0,0.0
2020,바하마,출항,25976.0,145.0,25831.0
2020,방글라데시,출항,565.0,565.0,0.0
2020,베냉,출항,58.0,58.0,0.0
2020,베네수엘라,출항,376.0,376.0,0.0
2020,베트남,출항,232100.0,216624.5,15475.5
2020,벨기에,출항,21883.0,21505.0,378.0
2020,벨리즈,출항,32.0,32.0,0.0
2020,북마리아나 제도,출항,924.0,906.0,18.0
2020,불가리아,출항,674.0,674.0,0.0
2020,브라질,출항,50219.0,48307.0,1912.0
2020,사모아,출항,94.0,88.0,6.0
2020,사우디아라비아,출항,44105.5,44095.5,10.0
2020,세네갈,출항,735.0,735.0,0.0
2020,세이셸,출항,123.0,123.0,0.0
2020,세인트루시아,출항,16.0,16.0,0.0
2020,세인트키츠 네비스,출항,12.0,12.0,0.0
2020,소말리아,출항,153.0,153.0,0.0
2020,솔로몬제도,출항,450.0,434.0,16.0
2020,수단,출항,1227.0,1227.0,0.0
2020,수리남,출항,32.0,32.0,0.0
2020,스리랑카,출항,13572.0,13572.0,0.0
2020,스웨덴,출항,4732.0,4721.0,11.0
2020,스페인,출항,34634.75,33891.75,743.0
2020,슬로베니아,출항,93265.75,93205.75,60.0
2020,시리아,출항,1716.0,1716.0,0.0
2020,시에라 리온,출항,34.0,34.0,0.0
2020,싱가포르,출항,77908.25,74763.25,3145.0
2020,아랍에미리트연합국,출항,68517.5,67939.5,578.0
2020,아루바,출항,1.0,1.0,0.0
2020,아르헨티나,출항,6418.0,5740.0,678.0
2020,아메리칸사모아,출항,820.0,736.0,84.0
2020,아이티,출항,208.0,208.0,0.0
2020,아일랜드,출항,427.0,427.0,0.0
2020,알바니아,출항,122.0,122.0,0.0
2020,알제리,출항,2674.0,2674.0,0.0
2020,앙골라,출항,713.0,713.0,0.0
2020,앤티가 바부다,출항,2.0,2.0,0.0
2020,앤틸리스제도,출항,46.0,46.0,0.0
2020,에스토니아,출항,714.25,714.25,0.0
2020,에콰도르,출항,20467.0,6045.0,14422.0
2020,엘살바도르,출항,794.0,794.0,0.0
2020,영국,출항,25296.75,24360.75,936.0
2020,영국령 버진아일랜드,출항,2.0,2.0,0.0
2020,예멘,출항,453.0,453.0,0.0
2020,오만,출항,4054.0,4054.0,0.0
2020,온두라스,출항,496.0,496.0,0.0
2020,요르단,출항,2774.25,2774.25,0.0
2020,우루과이,출항,2952.0,2626.0,326.0
2020,우크라이나,출항,2294.0,2282.0,12.0
2020,이라크,출항,2802.75,2802.75,0.0
2020,이란,출항,12.0,12.0,0.0
2020,이스라엘,출항,12971.25,12585.25,386.0
2020,이집트,출항,42384.25,41832.25,552.0
