연도,국가명,수입,수출,환적,전체물동량
2020,튀르키예,27303.75,88383.25,65732.75,181419.75
2020,트리니다드 토바고,662.0,627.0,5840.0,7129.0
2020,파나마,47218.75,26774.5,75965.75,149959.0
2020,파라과이,317.0,108.0,508.0,933.0
2020,파키스탄,15437.5,14317.0,19114.25,48868.75
2020,파푸아 뉴기니,347.0,940.0,5528.0,6815.0
2020,팔라우,56.0,92.0,174.0,322.0
2020,페로 제도,2.0,0.0,4.0,6.0
2020,페루,27227.0,15254.0,89663.0,132144.0
2020,포르투갈,3082.0,3052.0,3392.25,9526.25
2020,폴란드,12822.0,8398.0,4127.0,25347.0
2020,푸에르토리코,1914.0,328.0,9455.0,11697.0
2020,프랑스,29817.25,15623.0,29837.5,75277.75
2020,프랑스령 기아나,9.0,11.0,38.0,58.0
2020,프랑스령 폴리네시아,3425.0,70.0,891.0,4386.0
2020,피지,1433.0,504.0,5557.0,7494.0
2020,핀란드,12626.0,479.0,14132.0,27237.0
2020,필리핀,57216.75,43610.0,141021.75,241848.5
2020,헝가리,115.0,74.0,14.0,203.0
2020,호주,146466.5,64256.0,125990.75,336713.25
2020,홍콩,40253.0,76334.0,88540.5,205127.5
2021,가나,382.0,3610.0,1235.25,5227.25
2021,가봉,64.0,37.0,762.0,863.0
2021,가이아나,45.0,164.0,4126.0,4335.0
2021,감비아,58.0,8.0,23.0,89.0
2021,과들루프,4.0,20.0,97.0,121.0
2021,과테말라,4658.0,5016.0,24513.0,34187.0
2021,괌,6969.0,2599.75,8660.25,18229.0
2021,그레나다,0.0,20.0,161.25,181.25
2021,그리스,11364.25,10463.5,12780.0,34607.75
2021,기니,937.0,176.0,120.5,1233.5
2021,기니비사우,42.0,0.0,0.0,42.0
2021,기타국가,0.0,0.0,0.0,0.0
2021,나미비아,140.0,58.0,760.0,958.0
2021,나우루,0.0,1.0,167.0,168.0
2021,나이지리아,689.0,2139.75,3710.0,6538.75
2021,남아프리카,9601.0,4084.0,8648.0,22333.0
2021,네덜란드,89134.75,92975.25,60663.75,242773.75
2021,노르웨이,7352.0,315.25,2892.0,10559.25
2021,뉴질랜드,29332.0,14432.0,34828.5,78592.5
2021,뉴칼레도니아,2984.0,653.0,6522.0,10159.0
2021,니카라과,197.0,482.0,7469.0,8148.0
2021,대만,86778.75,135897.75,149740.5,372417.0
2021,대한민국,77131.75,111735.25,308725.0,497592.0
2021,덴마크,11970.0,1347.0,4097.0,17414.0
2021,도미니카 공화국,1502.0,2934.0,19967.5,24403.5
2021,도미니카 연방,0.0,0.0,113.0,113.0
2021,독일,106528.0,86322.75,53350.5,246201.25
2021,동티모르,2.0,2.0,143.0,147.0
2021,라이베리아,29.0,132.0,27.0,188.0
2021,라트비아,11288.0,517.0,3639.25,15444.25
2021,러시아,143904.75,160318.5,530390.5,834613.75
2021,레바논,1254.0,970.75,3219.25,5444.0
2021,레위니옹,25.0,125.0,29.0,179.0
2021,루마니아,6350.5,2901.5,9363.25,18615.25
2021,리비아,404.0,1643.25,1401.25,3448.5
2021,리투아니아,4620.25,1682.0,1528.0,7830.25
2021,마다가스카르,101.0,207.0,371.0,679.0
2021,마르티니크,6.0,24.0,180.0,210.0
2021,마샬 제도,4858.0,538.0,1645.0,7041.0
2021,마요트,0.0,76.0,7.0,83.0
2021,마카오,0.0,0.0,15.0,15.0
2021,말레이시아,96223.25,89606.75,122977.25,308807.25
2021,말리,0.0,0.0,0.0,0.0
2021,멕시코,100306.5,176086.0,349049.0,625441.5
2021,모로코,3379.0,3357.75,9980.0,16716.75
2021,모리셔스,118.0,136.0,477.0,731.0
2021,모리타니,303.0,123.0,251.0,677.0
2021,모잠비크,1139.0,1017.0,1684.0,3840.0
2021,몬테네그로,1444.0,35.0,131.0,1610.0
2021,몰디브,0.0,82.0,98.0,180.0
2021,몰타,1537.25,1674.0,737.5,3948.75
