입출항구분,국가명,연도,물동량
출항,온두라스,2020,496.0
출항,요르단,2020,2774.25
출항,우루과이,2020,2952.0
출항,우크라이나,2020,2294.0
출항,이라크,2020,2802.75
출항,이란,2020,12.0
출항,이스라엘,2020,12971.25
출항,이집트,2020,42384.25
출항,이탈리아,2020,48541.5
출항,인도,2020,130510.75
출항,인도네시아,2020,87049.25
출항,일본,2020,439522.0
출항,자메이카,2020,3323.0
출항,적도 기니,2020,6.0
출항,조지아,2020,404.0
출항,중국,2020,1158596.25
출항,지부티,2020,334.0
출항,지브롤터,2020,1.0
출항,칠레,2020,27715.0
출항,카메룬,2020,326.0
출항,카보 베르데,2020,0.0
출항,카타르,2020,4382.0
출항,캄보디아,2020,5260.25
출항,캐나다,2020,120916.0
출항,케냐,2020,2134.0
출항,케이맨 제도,2020,2.0
출항,코모로,2020,6.0
출항,코스타리카,2020,806.0
출항,코트디부아르,2020,691.0
출항,콜롬비아,2020,16058.0
출항,콩고,2020,263.0
출항,콩고 민주 공화국,2020,405.0
출항,쿠바,2020,273.0
출항,쿠웨이트,2020,1127.0
출항,크로아티아,2020,8577.25
출항,키리바시,2020,42.0
출항,키프로스,2020,133.0
출항,탄자니아,2020,2177.0
출항,태국,2020,101437.0
출항,토고,2020,1979.0
출항,통가,2020,75.0
출항,튀니지,2020,792.0
출항,튀르키예,2020,88383.25
출항,트리니다드 토바고,2020,627.0
출항,파나마,2020,26774.5
출항,파라과이,2020,108.0
출항,파키스탄,2020,14317.0
출항,파푸아 뉴기니,2020,940.0
출항,팔라우,2020,92.0
출항,페루,2020,15254.0
출항,포르투갈,2020,3052.0
출항,폴란드,2020,8398.0
출항,푸에르토리코,2020,328.0
출항,프랑스,2020,15623.0
출항,프랑스령 기아나,2020,11.0
출항,프랑스령 폴리네시아,2020,70.0
출항,피지,2020,504.0
출항,핀란드,2020,479.0
출항,필리핀,2020,43610.0
출항,헝가리,2020,74.0
출항,호주,2020,64256.0
출항,홍콩,2020,76334.0
입항환적,가나,2020,545.0
입항환적,가봉,2020,926.0
입항환적,가이아나,2020,2249.0
입항환적,감비아,2020,14.0
입항환적,과들루프,2020,14.0
입항환적,과테말라,2020,4807.0
입항환적,괌,2020,3349.75
입항환적,그리스,2020,4608.0
입항환적,기니,2020,2.0
입항환적,기니비사우,2020,4.0
입항환적,기타국가,2020,15.0
입항환적,나미비아,2020,58.0
입항환적,나이지리아,2020,1333.0
입항환적,남아프리카,2020,7565.0
입항환적,네덜란드,2020,31778.5
입항환적,노르웨이,2020,2047.25
입항환적,뉴질랜드,2020,29057.0
입항환적,뉴칼레도니아,2020,5716.0
입항환적,니카라과,2020,3738.0
입항환적,대만,2020,70992.75
입항환적,대한민국,2020,104171.0
입항환적,덴마크,2020,2537.0
입항환적,도미니카 공화국,2020,870.0
입항환적,도미니카 연방,2020,0.0
입항환적,독일,2020,38261.5
입항환적,동티모르,2020,38.0
입항환적,라이베리아,2020,0.0
입항환적,라트비아,2020,3410.0
입항환적,러시아,2020,175041.0
입항환적,레바논,2020,157.0
입항환적,레위니옹,2020,6.0
입항환적,루마니아,2020,8885.0
입항환적,리비아,2020,40.0
입항환적,리투아니아,2020,644.0
입항환적,마다가스카르,2020,89.0
입항환적,마르티니크,2020,22.0
입항환적,마샬 제도,2020,563.0
입항환적,마카오,2020,2.0
입항환적,말레이시아,2020,88014.0
입항환적,멕시코,2020,65110.5
입항환적,모로코,2020,971.0
입항환적,모리셔스,2020,313.0
입항환적,모리타니,2020,381.0
입항환적,모잠비크,2020,527.0
입항환적,몬테네그로,2020,25.0
입항환적,몰디브,2020,7.0
입항환적,몰타,2020,391.0
입항환적,미국,2020,646792.25
입항환적,미얀마,2020,3036.0
입항환적,미크로네시아,2020,121.0
입항환적,바누아투,2020,541.0
입항환적,바레인,2020,716.0
입항환적,바베이도스,2020,79.0
입항환적,바하마,2020,10.0
입항환적,방글라데시,2020,5572.75
입항환적,베냉,2020,0.0
입항환적,베네수엘라,2020,966.0
입항환적,베트남,2020,109505.75
입항환적,벨기에,2020,15038.5
입항환적,벨리즈,2020,170.0
입항환적,북마리아나 제도,2020,644.5
입항환적,불가리아,2020,1471.0
입항환적,브라질,2020,63502.0
입항환적,브루나이,2020,104.0
입항환적,사모아,2020,316.0
입항환적,사우디아라비아,2020,14622.0
입항환적,세네갈,2020,1580.0
입항환적,세이셸,2020,151.0
입항환적,세인트루시아,2020,78.0
입항환적,소말리아,2020,4.0
입항환적,솔로몬제도,2020,29.0
입항환적,수단,2020,4857.0
입항환적,수리남,2020,2092.0
입항환적,스리랑카,2020,4508.75
입항환적,스웨덴,2020,10199.0
입항환적,스페인,2020,23989.0
입항환적,슬로베니아,2020,8606.0
입항환적,시리아,2020,24.0
입항환적,시에라 리온,2020,83.0
입항환적,싱가포르,2020,25518.75
입항환적,아랍에미리트연합국,2020,27480.5
입항환적,아루바,2020,0.0
입항환적,아르헨티나,2020,11281.0
입항환적,아메리칸사모아,2020,104.0
입항환적,아이슬란드,2020,97.0
입항환적,아이티,2020,182.0
입항환적,아일랜드,2020,795.0
입항환적,알바니아,2020,546.0
입항환적,알제리,2020,24.0
입항환적,앙골라,2020,295.0
입항환적,앤티가 바부다,2020,0.0
입항환적,앤틸리스제도,2020,1.0
입항환적,에스토니아,2020,743.0
입항환적,에콰도르,2020,64413.25
입항환적,엘살바도르,2020,912.0
입항환적,영국,2020,6741.75
입항환적,예멘,2020,9.0
입항환적,오만,2020,8625.0
입항환적,오스트리아,2020,0.0
입항환적,온두라스,2020,643.0
입항환적,요르단,2020,2690.0
입항환적,우루과이,2020,4885.0
입항환적,우크라이나,2020,9943.5
입항환적,원양어획지역,2020,890.0
입항환적,이라크,2020,78.0
입항환적,이란,2020,0.0
입항환적,이스라엘,2020,3051.0
입항환적,이집트,2020,7866.0
입항환적,이탈리아,2020,31112.75
입항환적,인도,2020,57545.0
입항환적,인도네시아,2020,130855.75
입항환적,일본,2020,805793.25
입항환적,자메이카,2020,1667.0
입항환적,적도 기니,2020,28.0
입항환적,조지아,2020,725.0
입항환적,중국,2020,2533845.75
입항환적,지부티,2020,287.0
입항환적,지브롤터,2020,0.0
입항환적,차드,2020,1.0
입항환적,체코,2020,1.0
입항환적,칠레,2020,75856.0
입항환적,카메룬,2020,93.0
입항환적,카보 베르데,2020,18.0
입항환적,카타르,2020,2947.0
입항환적,캄보디아,2020,5242.0
입항환적,캐나다,2020,159669.25
입항환적,케냐,2020,659.0
입항환적,코모로,2020,2.0
입항환적,코스타리카,2020,4778.0
입항환적,코트디부아르,2020,137.0
입항환적,콜롬비아,2020,9236.75
입항환적,콩고,2020,3.0
입항환적,콩고 민주 공화국,2020,94.0
입항환적,쿠바,2020,867.0
