,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공
합계,"1,864,930","1,602,184","262,747","22,706,124","19,545,081","3,161,043","1,740,410","1,437,904","302,506","22,076,785","18,706,088","3,370,697","1,916,583","1,588,144","328,439","23,152,998","19,255,132","3,897,866","2,067,420","1,750,963","316,457","24,402,020","20,343,929","4,058,092","2,086,549","1,720,674","365,875","24,882,345","20,414,363","4,467,982"
마카오,,,,15,15,0,1,1,0,10,10,0,61,61,0,512,512,0,20,20,0,483,483,0,,,,46,46,0
말레이시아,"27,820","25,961","1,859","308,807","274,744","34,063","25,768","20,943","4,825","310,425","283,763","26,662",512,106,406,"5,061","1,399","3,662",502,223,279,"4,876","1,698","3,178",,,,11,11,0
멕시코,"44,284","39,291","4,993","625,442","553,924","71,517","50,200","42,203","7,997","642,971","567,411","75,560",,,,55,55,0,,,,10,10,0,"38,991","36,931","2,060","444,482","421,790","22,692"
모로코,656,652,4,"16,717","15,700","1,017","1,115","1,105",10,"9,646","9,526",120,,,,9,9,0,1,1,0,6,6,0,"71,753","61,978","9,775","840,779","714,193","126,586"
모리셔스,69,69,0,731,731,0,47,47,0,938,938,0,"28,358","25,668","2,690","334,884","286,325","48,559","24,326","23,174","1,152","325,491","292,958","32,533","1,421","1,419",2,"18,279","15,200","3,079"
모리타니,44,44,0,677,677,0,164,164,0,915,915,0,"68,314","60,728","7,586","883,729","699,702","184,027","77,387","60,848","16,539","939,999","748,366","191,633",128,128,0,"1,068","1,051",17
모잠비크,334,334,0,"3,840","3,840",0,685,685,0,"4,227","4,227",0,"3,829","3,289",540,"30,887","28,383","2,504","3,894","3,372",522,"37,402","34,092","3,310",115,115,0,"1,188","1,188",0
몬테네그로,135,135,0,"1,610","1,610",0,128,128,0,"1,513","1,513",0,70,70,0,"1,023","1,023",0,103,75,28,"1,903",978,925,520,520,0,"7,122","7,022",100
몰디브,54,54,0,180,180,0,43,43,0,504,504,0,96,96,0,"2,138","2,138",0,157,157,0,"1,857","1,857",0,,,,3,3,0
몰타,169,61,108,"3,949","2,307","1,642",187,187,0,"3,329","1,129","2,200",431,431,0,"4,103","4,103",0,401,401,0,"5,275","5,275",0,117,117,0,"1,542","1,542",0
미국,"265,004","243,085","21,919","3,296,302","2,972,036","324,266","246,261","214,335","31,926","3,394,909","3,016,148","378,761",,,,6,6,0,,,,2,2,0,27,27,0,318,317,1
미국령 버진아일랜드,2,2,0,52,52,0,,,,111,111,0,200,200,0,"1,965","1,965",0,145,145,0,"1,485","1,485",0,"1,161","1,161",0,"19,098","15,781","3,317"
미얀마,606,606,0,"6,264","6,246",18,485,485,0,"7,398","7,305",93,107,107,0,813,813,0,13,13,0,498,498,0,"296,941","253,980","42,962","4,046,998","3,356,151","690,847"
미크로네시아,68,53,15,"1,908","1,795",113,142,123,19,"1,746","1,503",243,95,95,0,"1,352","1,140",212,207,195,12,"2,871","1,274","1,597",,,,48,48,0
바누아투,488,460,28,"6,720","4,376","2,344",608,518,90,"6,378","3,963","2,415","287,111","243,661","43,450","3,494,163","3,089,048","405,115","339,392","291,301","48,091","4,054,790","3,457,520","597,270",600,600,0,"6,561","6,557",4
바레인,245,245,0,"3,685","3,685",0,269,269,0,"4,307","4,307",0,2,2,0,82,82,0,1,1,0,38,38,0,186,184,2,"2,505","2,401",104
바베이도스,87,87,0,"1,045","1,045",0,194,194,0,"2,393","2,393",0,543,543,0,"9,232","9,108",124,375,375,0,"6,901","6,891",10,"1,012",622,390,"7,593","6,333","1,260"
바하마,"5,962",71,"5,891","68,606",962,"67,644","12,683",121,"12,562","78,521","1,515","77,006",211,182,29,"2,059","1,873",186,169,156,13,"2,217","2,046",171,636,416,220,"10,179","6,094","4,085"
방글라데시,"1,792","1,792",0,"16,922","16,760",162,"1,801","1,691",110,"19,836","19,605",231,333,263,70,"7,492","4,876","2,616",694,431,263,"7,965","5,816","2,149",134,134,0,"1,357","1,357",0
버뮤다,2,2,0,2,2,0,,,,,,,365,365,0,"4,266","4,266",0,541,521,20,"4,891","4,859",32,"26,600",174,"26,426","229,063","2,097","226,966"
베냉,11,11,0,313,299,14,106,6,100,835,735,100,197,197,0,"2,098","2,098",0,77,77,0,"1,049","1,049",0,"1,448","1,448",0,"18,206","18,066",140
베네수엘라,697,697,0,"12,689","12,689",0,352,352,0,"14,172","14,172",0,"12,165",194,"11,971","124,718","2,845","121,873","17,933",204,"17,729","156,862","2,689","154,173",11,11,0,965,763,202
베트남,"56,407","55,471",936,"627,667","602,995","24,673","49,351","44,902","4,449","657,963","625,007","32,956","1,959","1,929",30,"25,250","23,951","1,299","1,612","1,610",2,"18,318","18,227",91,"3,574","3,574",0,"37,342","37,342",0
벨기에,"8,561","8,413",148,"105,138","102,582","2,556","8,264","8,217",47,"94,695","92,584","2,111",98,98,0,884,884,0,95,95,0,"1,311","1,311",0,"73,426","66,935","6,492","809,966","742,982","66,984"
벨리즈,38,38,0,"1,302","1,302",0,16,16,0,799,799,0,"3,122","3,122",0,"24,751","24,750",1,"2,287","2,287",0,"24,413","24,411",2,"6,733","5,544","1,189","79,487","74,892","4,595"
북마리아나 제도,529,209,320,"12,616","2,346","10,270",192,180,12,"7,457","2,436","5,022","63,868","61,336","2,532","652,642","611,366","41,277","68,136","64,259","3,877","795,387","748,434","46,954",12,12,0,386,386,0
불가리아,207,207,0,"3,225","3,219",6,218,218,0,"3,539","3,536",3,"6,612","5,618",994,"97,326","91,425","5,901","6,904","6,640",264,"81,968","78,301","3,667",,,,8,8,0
브라질,"16,518","16,189",329,"228,417","216,504","11,913","21,995","18,432","3,563","235,102","218,354","16,748",52,52,0,694,694,0,4,4,0,416,416,0,269,213,56,"3,029","1,839","1,190"
브루나이,5,5,0,198,195,3,13,13,0,105,97,8,371,164,207,"4,484","2,337","2,147",480,57,423,"4,930","1,243","3,687",,,,,,
사모아,566,279,287,"6,096","3,344","2,752",286,286,0,"4,351","3,204","1,147",,,,,,,,,,2,2,0,200,200,0,"2,482","2,480",2
사우디아라비아,"10,370","6,844","3,526","89,927","74,277","15,650","11,837","7,014","4,823","98,671","76,537","22,134",538,538,0,"3,281","3,276",5,497,497,0,"5,294","5,294",0,"31,959","28,649","3,310","263,921","240,906","23,015"
상투메 프린시페,,,,2,2,0,,,,4,4,0,"14,709","14,498",211,"232,481","203,802","28,679","19,037","16,697","2,340","196,817","184,584","12,233",17,17,0,106,103,3
세네갈,168,168,0,"2,722","2,693",29,434,434,0,"4,843","4,843",0,19,19,0,199,199,0,8,8,0,102,98,4,568,434,134,"6,999","4,588","2,411"
세르비아,,,,2,2,0,,,,,,,498,300,198,"4,923","3,541","1,382",514,242,272,"6,863","3,839","3,024","5,451","4,105","1,346","100,927","70,433","30,495"
세이셸,92,92,0,264,264,0,70,70,0,336,336,0,"11,086","6,272","4,814","133,468","90,418","43,050","9,348","5,789","3,559","93,668","74,450","19,218",1,1,0,38,38,0
세인트 빈센트 그레나딘,4,4,0,87,87,0,14,14,0,199,199,0,,,,13,13,0,26,26,0,63,63,0,143,143,0,"2,357","2,290",67
세인트루시아,13,13,0,249,249,0,16,16,0,487,487,0,413,413,0,"4,930","4,930",0,331,331,0,"4,245","4,245",0,5,5,0,124,124,0
세인트키츠 네비스,2,2,0,89,89,0,12,12,0,127,127,0,,,,6,6,0,,,,,,,5,5,0,105,105,0
소말리아,20,20,0,204,171,33,21,21,0,271,271,0,26,26,0,472,472,0,27,27,0,258,258,0,17,17,0,312,312,0
솔로몬제도,169,167,2,"1,996","1,932",64,347,347,0,"2,468","2,209",259,5,5,0,144,144,0,3,3,0,107,107,0,11,11,0,96,96,0
수단,4,4,0,"2,603","2,362",241,68,68,0,"1,513","1,503",10,46,46,0,714,714,0,27,27,0,388,388,0,11,11,0,332,277,55
수리남,167,167,0,"2,836","2,836",0,412,412,0,"3,585","3,585",0,10,10,0,102,102,0,10,10,0,94,94,0,212,105,107,"2,811","1,191","1,620"
스리랑카,"2,499","2,499",0,"20,655","19,597","1,058",972,969,3,"21,713","19,781","1,932",100,100,0,305,305,0,43,43,0,247,191,56,21,21,0,302,302,0
스웨덴,"3,332","3,332",0,"32,160","32,104",56,"3,566","3,514",52,"35,780","35,614",166,44,42,2,"1,280","1,135",145,58,58,0,978,966,12,740,740,0,"7,000","7,000",0
스위스,,,,15,15,0,,,,4,4,0,48,48,0,"1,411","1,411",0,15,15,0,312,312,0,655,655,0,"14,806","11,472","3,334"
스페인,"10,272","9,893",379,"139,026","133,473","5,553","12,160","11,924",236,"129,175","123,294","5,881",419,419,0,"5,007","5,007",0,336,336,0,"4,695","4,687",8,"3,492","3,482",10,"40,257","40,244",13
슬로바키아,,,,,,,2,2,0,5,5,0,954,951,3,"15,969","15,532",437,"1,041","1,040",1,"15,938","14,428","1,510",,,,,,
슬로베니아,"13,028","12,990",38,"143,051","142,679",372,"11,183","11,183",0,"138,819","137,782","1,036","2,601","2,601",0,"40,893","40,893",0,"2,836","2,836",0,"37,899","37,899",0,"13,988","11,175","2,813","166,831","133,300","33,530"
시리아,57,57,0,706,706,0,38,38,0,862,862,0,,,,1,1,0,,,,2,2,0,"5,538","5,537",1,"78,241","77,172","1,069"
시에라 리온,15,15,0,364,364,0,72,72,0,361,361,0,"13,084","8,735","4,349","151,271","125,777","25,494","11,831","10,382","1,449","146,594","124,419","22,176",406,406,0,"4,032","4,032",0
싱가포르,"16,827","14,884","1,944","233,497","190,231","43,266","18,886","14,117","4,769","215,551","171,679","43,871",1,1,0,17,17,0,,,,,,,32,32,0,481,481,0
아랍에미리트연합국,"15,531","12,214","3,317","184,682","132,589","52,094","18,764","11,541","7,223","192,555","143,492","49,063","11,854","11,824",30,"133,752","133,561",191,"10,818","10,781",37,"109,713","109,629",84,,,,,,
아루바,44,44,0,339,339,0,71,71,0,753,753,0,21,21,0,323,323,0,114,114,0,"1,065","1,064",1,"22,195","14,442","7,754","203,208","162,414","40,794"
아르헨티나,"3,125","2,393",732,"36,161","31,258","4,903","5,047","2,791","2,256","47,457","36,119","11,338",61,61,0,"1,120","1,120",0,50,50,0,862,862,0,"18,173","11,526","6,647","214,470","157,527","56,943"
아메리칸사모아,507,267,240,"2,914","2,308",606,424,424,0,"6,387","2,767","3,620",,,,,,,,,,2,2,0,43,43,0,650,650,0
아이슬란드,4,4,0,70,70,0,30,30,0,195,195,0,"21,235","14,046","7,190","236,352","179,797","56,555","17,251","13,979","3,272","217,291","176,137","41,155","1,095","1,095",0,"18,218","17,842",376
아이티,249,249,0,"2,079","2,079",0,118,118,0,"2,328","2,328",0,"16,052","11,816","4,236","204,053","152,226","51,828","18,990","12,989","6,001","217,110","159,751","57,359",743,186,557,"5,010","2,846","2,164"
아일랜드,297,283,14,"4,181","4,127",54,478,453,25,"4,919","4,798",121,89,89,0,949,949,0,72,72,0,581,581,0,5,5,0,190,190,0
알바니아,374,374,0,"3,435","3,435",0,46,46,0,"1,432","1,432",0,"2,063","1,259",804,"43,676","27,995","15,681",772,772,0,"15,586","14,709",877,513,510,3,"3,819","3,816",3
